ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type,event_cost,cumulative_cost
place_o-990001,2023-04-03 12:08:18+00:00,place order,o-990001,,,1353.98,orders,0,0
place_o-990002,2023-04-03 16:36:55+00:00,place order,o-990002,,,3083.0,orders,0,0
place_o-990003,2023-04-03 23:31:23+00:00,place order,o-990003,,,3599.99,orders,0,0
place_o-990004,2023-04-04 12:30:50+00:00,place order,o-990004,,,2241.95,orders,0,0
confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,o-990002,,,3083.0,orders,1,1
confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,o-990001,,,1353.98,orders,1,1
place_o-990005,2023-04-04 17:21:59+00:00,place order,o-990005,,,3049.98,orders,0,0
confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,o-990005,,,3049.98,orders,1,1
place_o-990006,2023-04-05 06:24:56+00:00,place order,o-990006,,,5732.98,orders,0,0
confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,o-990006,,,5732.98,orders,1,1
place_o-990007,2023-04-05 13:05:45+00:00,place order,o-990007,,,2600.98,orders,0,0
confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,o-990003,,,3599.99,orders,1,1
pay_o-990005,2023-04-05 17:28:14+00:00,pay order,o-990005,,,3049.98,orders,1,2
place_o-990008,2023-04-05 17:31:49+00:00,place order,o-990008,,,2691.99,orders,0,0
pay_o-990001,2023-04-05 17:47:04+00:00,pay order,o-990001,,,1353.98,orders,1,2
confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,o-990007,,,2600.98,orders,1,1
place_o-990009,2023-04-06 08:13:07+00:00,place order,o-990009,,,1268.98,orders,0,0
confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,o-990008,,,2691.99,orders,1,1
confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,o-990009,,,1268.98,orders,1,1
place_o-990010,2023-04-06 13:09:59+00:00,place order,o-990010,,,3751.0,orders,0,0
confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,o-990004,,,2241.95,orders,1,1
pay_o-990008,2023-04-06 16:30:08+00:00,pay order,o-990008,,,2691.99,orders,1,2
confirm_o-990010,2023-04-06 16:31:47+00:00,confirm order,o-990010,,,3751.0,orders,1,1
place_o-990011,2023-04-06 17:40:17+00:00,place order,o-990011,,,783.98,orders,0,0
place_o-990012,2023-04-07 08:53:28+00:00,place order,o-990012,,,3463.97,orders,0,0
confirm_o-990012,2023-04-07 10:03:35+00:00,confirm order,o-990012,,,3463.97,orders,1,1
pay_o-990007,2023-04-07 13:22:22+00:00,pay order,o-990007,,,2600.98,orders,1,2
place_o-990013,2023-04-07 14:10:31+00:00,place order,o-990013,,,3349.99,orders,0,0
confirm_o-990013,2023-04-07 15:19:53+00:00,confirm order,o-990013,,,3349.99,orders,1,1
place_o-990014,2023-04-07 18:41:21+00:00,place order,o-990014,,,1098.99,orders,0,0
place_o-990015,2023-04-09 14:15:59+00:00,place order,o-990015,,,703.98,orders,0,0
place_o-990016,2023-04-10 11:37:17+00:00,place order,o-990016,,,3990.98,orders,0,0
pay_o-990002,2023-04-10 13:00:09+00:00,pay order,o-990002,,,3083.0,orders,1,2
place_o-990017,2023-04-10 16:34:53+00:00,place order,o-990017,,,853.95,orders,0,0
confirm_o-990014,2023-04-10 17:36:39+00:00,confirm order,o-990014,,,1098.99,orders,1,1
confirm_o-990017,2023-04-10 19:28:12+00:00,confirm order,o-990017,,,853.95,orders,1,1
confirm_o-990011,2023-04-10 21:55:54+00:00,confirm order,o-990011,,,783.98,orders,1,1
place_o-990018,2023-04-10 23:25:17+00:00,place order,o-990018,,,2551.98,orders,0,0
pay_o-990014,2023-04-11 08:43:14+00:00,pay order,o-990014,,,1098.99,orders,1,2
confirm_o-990018,2023-04-11 09:03:16+00:00,confirm order,o-990018,,,2551.98,orders,1,1
confirm_o-990016,2023-04-11 09:30:24+00:00,confirm order,o-990016,,,3990.98,orders,1,1
confirm_o-990015,2023-04-11 10:47:20+00:00,confirm order,o-990015,,,703.98,orders,1,1
place_o-990019,2023-04-11 12:24:07+00:00,place order,o-990019,,,1498.99,orders,0,0
place_o-990020,2023-04-11 17:08:33+00:00,place order,o-990020,,,1319.99,orders,0,0
place_o-990021,2023-04-12 03:57:11+00:00,place order,o-990021,,,1798.99,orders,0,0
confirm_o-990019,2023-04-12 08:55:57+00:00,confirm order,o-990019,,,1498.99,orders,1,1
confirm_o-990021,2023-04-12 11:44:39+00:00,confirm order,o-990021,,,1798.99,orders,1,1
place_o-990022,2023-04-12 13:23:13+00:00,place order,o-990022,,,2998.98,orders,0,0
confirm_o-990020,2023-04-12 14:26:45+00:00,confirm order,o-990020,,,1319.99,orders,1,1
pay_o-990006,2023-04-12 15:22:49+00:00,pay order,o-990006,,,5732.98,orders,1,2
pay_o-990015,2023-04-12 15:34:14+00:00,pay order,o-990015,,,703.98,orders,1,2
place_o-990023,2023-04-12 18:06:45+00:00,place order,o-990023,,,3347.99,orders,0,0
pay_o-990011,2023-04-12 18:44:17+00:00,pay order,o-990011,,,783.98,orders,1,2
place_o-990024,2023-04-13 09:09:49+00:00,place order,o-990024,,,1159.99,orders,0,0
confirm_o-990022,2023-04-13 10:47:59+00:00,confirm order,o-990022,,,2998.98,orders,1,1
confirm_o-990023,2023-04-13 11:26:39+00:00,confirm order,o-990023,,,3347.99,orders,1,1
place_o-990025,2023-04-13 13:39:56+00:00,place order,o-990025,,,986.99,orders,0,0
confirm_o-990025,2023-04-13 16:07:55+00:00,confirm order,o-990025,,,986.99,orders,1,1
pay_o-990021,2023-04-13 18:25:42+00:00,pay order,o-990021,,,1798.99,orders,1,2
place_o-990026,2023-04-13 18:40:11+00:00,place order,o-990026,,,829.98,orders,0,0
pay_o-990017,2023-04-13 20:52:12+00:00,pay order,o-990017,,,853.95,orders,1,2
pay_o-990025,2023-04-14 10:05:59+00:00,pay order,o-990025,,,986.99,orders,1,2
place_o-990027,2023-04-14 10:16:41+00:00,place order,o-990027,,,630.99,orders,0,0
pay_o-990018,2023-04-14 10:26:41+00:00,pay order,o-990018,,,2551.98,orders,1,2
confirm_o-990026,2023-04-14 10:56:07+00:00,confirm order,o-990026,,,829.98,orders,1,1
confirm_o-990024,2023-04-14 11:13:33+00:00,confirm order,o-990024,,,1159.99,orders,1,1
place_o-990028,2023-04-14 14:53:41+00:00,place order,o-990028,,,2451.99,orders,0,0
place_o-990029,2023-04-14 20:21:40+00:00,place order,o-990029,,,883.98,orders,0,0
place_o-990030,2023-04-17 02:45:08+00:00,place order,o-990030,,,3749.94,orders,0,0
confirm_o-990030,2023-04-17 09:09:39+00:00,confirm order,o-990030,,,3749.94,orders,1,1
confirm_o-990027,2023-04-17 10:00:16+00:00,confirm order,o-990027,,,630.99,orders,1,1
confirm_o-990029,2023-04-17 10:35:32+00:00,confirm order,o-990029,,,883.98,orders,1,1
pay_o-990020,2023-04-17 11:17:45+00:00,pay order,o-990020,,,1319.99,orders,1,2
place_o-990031,2023-04-17 13:03:58+00:00,place order,o-990031,,,713.98,orders,0,0
pay_o-990027,2023-04-17 13:47:52+00:00,pay order,o-990027,,,630.99,orders,1,2
place_o-990032,2023-04-17 17:28:15+00:00,place order,o-990032,,,1542.97,orders,0,0
