ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
create_p-660001,2023-04-08 01:00:00+00:00,create package,p-660001,,8.484,,packages
send_p-660001,2023-04-10 10:40:42+00:00,send package,p-660001,,8.484,,packages
deliver_p-660001,2023-04-11 11:03:27+00:00,package delivered,p-660001,,8.484,,packages
create_p-660002,2023-04-12 09:52:12+00:00,create package,p-660002,,3.125,,packages
create_p-660003,2023-04-12 15:59:22+00:00,create package,p-660003,,3.606,,packages
send_p-660002,2023-04-12 16:34:48+00:00,send package,p-660002,,3.125,,packages
create_p-660004,2023-04-13 01:00:00+00:00,create package,p-660004,,5.247,,packages
send_p-660004,2023-04-13 08:05:53+00:00,send package,p-660004,,5.247,,packages
deliver_p-660004,2023-04-13 08:08:48+00:00,package delivered,p-660004,,5.247,,packages
send_p-660003,2023-04-13 12:50:06+00:00,send package,p-660003,,3.606,,packages
create_p-660005,2023-04-13 15:01:36+00:00,create package,p-660005,,3.471,,packages
deliver_p-660002,2023-04-13 15:28:20+00:00,package delivered,p-660002,,3.125,,packages
send_p-660005,2023-04-13 15:57:03+00:00,send package,p-660005,,3.471,,packages
deliver_p-660003,2023-04-13 18:01:52+00:00,package delivered,p-660003,,3.606,,packages
deliver_p-660005,2023-04-13 19:27:26+00:00,package delivered,p-660005,,3.471,,packages
create_p-660006,2023-04-14 16:52:44+00:00,create package,p-660006,,2.699,,packages
create_p-660007,2023-04-17 09:58:42+00:00,create package,p-660007,,3.706,,packages
send_p-660006,2023-04-17 10:38:41+00:00,send package,p-660006,,2.699,,packages
create_p-660008,2023-04-17 15:15:22+00:00,create package,p-660008,,3.713,,packages
fail_p-660006_1,2023-04-17 16:13:05+00:00,failed delivery,p-660006,,2.699,,packages
send_p-660007,2023-04-17 16:21:13+00:00,send package,p-660007,,3.706,,packages
create_p-660009,2023-04-18 01:00:00+00:00,create package,p-660009,,1.21,,packages
deliver_p-660007,2023-04-18 09:51:02+00:00,package delivered,p-660007,,3.706,,packages
send_p-660009,2023-04-18 10:44:34+00:00,send package,p-660009,,1.21,,packages
deliver_p-660006,2023-04-18 15:24:23+00:00,package delivered,p-660006,,2.699,,packages
send_p-660008,2023-04-18 16:45:22+00:00,send package,p-660008,,3.713,,packages
create_p-660010,2023-04-18 17:30:06+00:00,create package,p-660010,,7.366,,packages
send_p-660010,2023-04-18 17:30:41+00:00,send package,p-660010,,7.366,,packages
deliver_p-660008,2023-04-18 21:45:58+00:00,package delivered,p-660008,,3.713,,packages
deliver_p-660009,2023-04-19 10:22:59+00:00,package delivered,p-660009,,1.21,,packages
create_p-660011,2023-04-19 11:30:18+00:00,create package,p-660011,,7.113,,packages
deliver_p-660010,2023-04-19 11:39:16+00:00,package delivered,p-660010,,7.366,,packages
send_p-660011,2023-04-19 13:55:14+00:00,send package,p-660011,,7.113,,packages
create_p-660012,2023-04-20 10:37:13+00:00,create package,p-660012,,3.186,,packages
deliver_p-660011,2023-04-20 12:54:38+00:00,package delivered,p-660011,,7.113,,packages
create_p-660013,2023-04-20 14:54:46+00:00,create package,p-660013,,8.02,,packages
send_p-660012,2023-04-20 15:45:41+00:00,send package,p-660012,,3.186,,packages
send_p-660013,2023-04-20 16:22:40+00:00,send package,p-660013,,8.02,,packages
fail_p-660013_2,2023-04-21 08:51:18+00:00,failed delivery,p-660013,,8.02,,packages
deliver_p-660012,2023-04-21 09:46:26+00:00,package delivered,p-660012,,3.186,,packages
fail_p-660013_3,2023-04-21 10:39:44+00:00,failed delivery,p-660013,,8.02,,packages
deliver_p-660013,2023-04-21 18:38:23+00:00,package delivered,p-660013,,8.02,,packages
create_p-660014,2023-04-23 01:00:00+00:00,create package,p-660014,,1.463,,packages
send_p-660014,2023-04-24 08:17:24+00:00,send package,p-660014,,1.463,,packages
create_p-660015,2023-04-24 09:44:49+00:00,create package,p-660015,,1.086,,packages
deliver_p-660014,2023-04-24 11:25:23+00:00,package delivered,p-660014,,1.463,,packages
create_p-660016,2023-04-24 12:22:10+00:00,create package,p-660016,,1.0,,packages
send_p-660016,2023-04-24 12:31:08+00:00,send package,p-660016,,1.0,,packages
send_p-660015,2023-04-24 14:03:52+00:00,send package,p-660015,,1.086,,packages
create_p-660017,2023-04-24 16:03:42+00:00,create package,p-660017,,2.403,,packages
deliver_p-660016,2023-04-24 16:56:02+00:00,package delivered,p-660016,,1.0,,packages
send_p-660017,2023-04-24 19:50:53+00:00,send package,p-660017,,2.403,,packages
deliver_p-660015,2023-04-24 20:38:09+00:00,package delivered,p-660015,,1.086,,packages
create_p-660018,2023-04-25 10:25:13+00:00,create package,p-660018,,0.48,,packages
create_p-660019,2023-04-25 11:32:43+00:00,create package,p-660019,,10.908,,packages
send_p-660019,2023-04-25 14:51:47+00:00,send package,p-660019,,10.908,,packages
send_p-660018,2023-04-25 15:42:59+00:00,send package,p-660018,,0.48,,packages
deliver_p-660017,2023-04-25 15:43:47+00:00,package delivered,p-660017,,2.403,,packages
deliver_p-660019,2023-04-25 18:23:20+00:00,package delivered,p-660019,,10.908,,packages
deliver_p-660018,2023-04-26 11:29:18+00:00,package delivered,p-660018,,0.48,,packages
create_p-660020,2023-04-26 16:24:44+00:00,create package,p-660020,,2.156,,packages
create_p-660021,2023-04-26 19:02:45+00:00,create package,p-660021,,4.0,,packages
send_p-660020,2023-04-26 20:43:43+00:00,send package,p-660020,,2.156,,packages
deliver_p-660020,2023-04-27 09:28:18+00:00,package delivered,p-660020,,2.156,,packages
send_p-660021,2023-04-27 13:40:30+00:00,send package,p-660021,,4.0,,packages
create_p-660022,2023-04-27 17:01:33+00:00,create package,p-660022,,3.595,,packages
create_p-660023,2023-04-28 01:00:00+00:00,create package,p-660023,,2.78,,packages
deliver_p-660021,2023-04-28 09:43:45+00:00,package delivered,p-660021,,4.0,,packages
send_p-660023,2023-04-28 15:56:19+00:00,send package,p-660023,,2.78,,packages
send_p-660022,2023-04-28 16:21:56+00:00,send package,p-660022,,3.595,,packages
deliver_p-660022,2023-05-01 08:53:21+00:00,package delivered,p-660022,,3.595,,packages
create_p-660024,2023-05-01 09:25:12+00:00,create package,p-660024,,10.045,,packages
deliver_p-660023,2023-05-01 10:12:39+00:00,package delivered,p-660023,,2.78,,packages
send_p-660024,2023-05-01 11:03:08+00:00,send package,p-660024,,10.045,,packages
deliver_p-660024,2023-05-01 20:34:34+00:00,package delivered,p-660024,,10.045,,packages
create_p-660025,2023-05-02 11:51:47+00:00,create package,p-660025,,1.155,,packages
create_p-660026,2023-05-02 14:23:53+00:00,create package,p-660026,,2.523,,packages
create_p-660027,2023-05-02 16:13:55+00:00,create package,p-660027,,5.656,,packages
send_p-660027,2023-05-02 16:58:46+00:00,send package,p-660027,,5.656,,packages
send_p-660025,2023-05-02 17:22:11+00:00,send package,p-660025,,1.155,,packages
create_p-660028,2023-05-03 01:00:00+00:00,create package,p-660028,,4.213,,packages
send_p-660026,2023-05-03 10:03:43+00:00,send package,p-660026,,2.523,,packages
fail_p-660027_4,2023-05-03 10:33:31+00:00,failed delivery,p-660027,,5.656,,packages
create_p-660029,2023-05-03 11:53:14+00:00,create package,p-660029,,1.19,,packages
create_p-660030,2023-05-03 12:56:45+00:00,create package,p-660030,,2.041,,packages
create_p-660031,2023-05-03 14:51:52+00:00,create package,p-660031,,3.49,,packages
send_p-660030,2023-05-03 15:23:28+00:00,send package,p-660030,,2.041,,packages
send_p-660028,2023-05-03 15:33:17+00:00,send package,p-660028,,4.213,,packages
deliver_p-660025,2023-05-03 16:15:45+00:00,package delivered,p-660025,,1.155,,packages
send_p-660029,2023-05-03 18:27:58+00:00,send package,p-660029,,1.19,,packages
create_p-660032,2023-05-03 18:44:44+00:00,create package,p-660032,,1.37,,packages
create_p-660033,2023-05-03 19:05:31+00:00,create package,p-660033,,9.778,,packages
deliver_p-660029,2023-05-04 08:52:38+00:00,package delivered,p-660029,,1.19,,packages
deliver_p-660028,2023-05-04 10:30:36+00:00,package delivered,p-660028,,4.213,,packages
deliver_p-660030,2023-05-04 10:39:13+00:00,package delivered,p-660030,,2.041,,packages
fail_p-660026_5,2023-05-04 10:51:30+00:00,failed delivery,p-660026,,2.523,,packages
send_p-660032,2023-05-04 11:11:36+00:00,send package,p-660032,,1.37,,packages
create_p-660034,2023-05-04 11:41:20+00:00,create package,p-660034,,5.19,,packages
fail_p-660027_6,2023-05-04 13:41:53+00:00,failed delivery,p-660027,,5.656,,packages
deliver_p-660032,2023-05-04 14:15:35+00:00,package delivered,p-660032,,1.37,,packages
send_p-660031,2023-05-04 14:40:06+00:00,send package,p-660031,,3.49,,packages
send_p-660033,2023-05-04 15:21:18+00:00,send package,p-660033,,9.778,,packages
create_p-660035,2023-05-04 17:00:20+00:00,create package,p-660035,,4.929,,packages
send_p-660035,2023-05-04 17:11:11+00:00,send package,p-660035,,4.929,,packages
fail_p-660027_7,2023-05-04 19:14:20+00:00,failed delivery,p-660027,,5.656,,packages
deliver_p-660035,2023-05-05 09:02:34+00:00,package delivered,p-660035,,4.929,,packages
deliver_p-660031,2023-05-05 09:20:52+00:00,package delivered,p-660031,,3.49,,packages
create_p-660036,2023-05-05 10:05:39+00:00,create package,p-660036,,4.655,,packages
send_p-660034,2023-05-05 10:25:36+00:00,send package,p-660034,,5.19,,packages
deliver_p-660026,2023-05-05 10:42:10+00:00,package delivered,p-660026,,2.523,,packages
create_p-660037,2023-05-05 11:57:42+00:00,create package,p-660037,,6.292,,packages
deliver_p-660034,2023-05-05 12:21:31+00:00,package delivered,p-660034,,5.19,,packages
deliver_p-660033,2023-05-05 12:32:38+00:00,package delivered,p-660033,,9.778,,packages
send_p-660036,2023-05-05 12:42:16+00:00,send package,p-660036,,4.655,,packages
deliver_p-660036,2023-05-05 14:38:24+00:00,package delivered,p-660036,,4.655,,packages
create_p-660038,2023-05-05 16:11:40+00:00,create package,p-660038,,1.929,,packages
send_p-660038,2023-05-05 17:43:26+00:00,send package,p-660038,,1.929,,packages
create_p-660039,2023-05-05 17:54:29+00:00,create package,p-660039,,5.966,,packages
send_p-660039,2023-05-05 19:37:43+00:00,send package,p-660039,,5.966,,packages
create_p-660040,2023-05-08 01:00:00+00:00,create package,p-660040,,2.151,,packages
fail_p-660027_8,2023-05-08 10:24:14+00:00,failed delivery,p-660027,,5.656,,packages
send_p-660037,2023-05-08 10:28:27+00:00,send package,p-660037,,6.292,,packages
fail_p-660027_9,2023-05-08 10:34:56+00:00,failed delivery,p-660027,,5.656,,packages
deliver_p-660038,2023-05-08 11:05:44+00:00,package delivered,p-660038,,1.929,,packages
fail_p-660039_10,2023-05-08 11:36:33+00:00,failed delivery,p-660039,,5.966,,packages
fail_p-660027_11,2023-05-08 12:36:05+00:00,failed delivery,p-660027,,5.656,,packages
create_p-660041,2023-05-08 14:59:28+00:00,create package,p-660041,,9.819,,packages
fail_p-660027_12,2023-05-08 16:07:48+00:00,failed delivery,p-660027,,5.656,,packages
send_p-660040,2023-05-08 16:15:20+00:00,send package,p-660040,,2.151,,packages
deliver_p-660027,2023-05-08 16:23:52+00:00,package delivered,p-660027,,5.656,,packages
create_p-660042,2023-05-09 09:14:38+00:00,create package,p-660042,,5.083,,packages
deliver_p-660037,2023-05-09 09:48:06+00:00,package delivered,p-660037,,6.292,,packages
send_p-660042,2023-05-09 10:20:27+00:00,send package,p-660042,,5.083,,packages
create_p-660043,2023-05-09 10:27:23+00:00,create package,p-660043,,2.295,,packages
deliver_p-660039,2023-05-09 10:51:13+00:00,package delivered,p-660039,,5.966,,packages
fail_p-660040_13,2023-05-09 11:45:52+00:00,failed delivery,p-660040,,2.151,,packages
create_p-660044,2023-05-09 12:25:27+00:00,create package,p-660044,,4.282,,packages
create_p-660045,2023-05-09 14:22:52+00:00,create package,p-660045,,2.708,,packages
send_p-660044,2023-05-09 14:58:51+00:00,send package,p-660044,,4.282,,packages
send_p-660041,2023-05-09 15:23:27+00:00,send package,p-660041,,9.819,,packages
send_p-660045,2023-05-09 16:05:34+00:00,send package,p-660045,,2.708,,packages
create_p-660046,2023-05-09 16:12:58+00:00,create package,p-660046,,0.65,,packages
